Rank,Name,Count
1007,Fia,34
1007,Hajra,34
1007,Halimah,34
1007,Harper-Leigh,34
1007,Ilaria,34
1007,Ilyana,34
1007,Ioana,34
1007,June,34
1007,Lillie-Mae,34
1007,Lilly-May,34
1007,Lola-Rose,34
1007,Maliyah,34
1007,Marie,34
1007,Marta,34
1007,Mavis,34
1007,Nyah,34
1007,Renesmee,34
1007,Roxy,34
1007,Tala,34
1007,Zaira,34
1007,Zariah,34
1039,Aaira,33
1039,Aarna,33
1039,Andrea,33
1039,Ava-Leigh,33
1039,Carolina,33
1039,Esra,33
1039,Essie,33
1039,Isla-Rae,33
1039,Jenna,33
1039,Khaleesi,33
1039,Kylie,33
1039,Lacie,33
1039,Lettie,33
1039,Lottie-Mae,33
1039,Medeea,33
1039,Miah,33
1039,Nila,33
1039,Noemi,33
1039,Roseanna,33
1039,Rubie,33
1039,Ruby-Mae,33
1039,Ryleigh,33
1039,Seraphina,33
1039,Siara,33
1039,Sloane,33
1039,Summer-Rose,33
1039,Torvi,33
1039,Trixie,33
1039,Valerie,33
1039,Vienna-Rose,33
1069,Akira,32
1069,Alyza,32
1069,Aster,32
1069,Bronte,32
1069,Eabha,32
1069,Eileen,32
1069,Eshal,32
1069,Esmeralda,32
1069,Harleigh,32
1069,Hayat,32
1069,Ilinca,32
1069,Israa,32
1069,Ivy-Grace,32
1069,Jocelyn,32
1069,Khadeejah,32
1069,Leya,32
1069,Lorelei,32
1069,Lowenna,32
1069,Maiya,32
1069,Millie-Rose,32
1069,Nuha,32
1069,Olivia-Grace,32
1069,Posie,32
1069,Princess,32
1069,Rayah,32
1069,River-Rose,32
1069,Roza,32
1069,Sumaya,32
1069,Taliah,32
1069,Tasneem,32
1069,Taya,32
1069,Willa,32
1069,Yasmina,32
1102,Amalie,31
1102,Darcie-Rae,31
1102,Devon,31
1102,Esme-Rose,31
1102,Eveline,31
1102,Harper-Rae,31
1102,Havana,31
1102,Isadora,31
1102,Jamila,31
1102,Joanie,31
1102,Kaiya,31
1102,Khloe,31
1102,Leen,31
1102,Lennon,31
1102,Leonor,31
1102,Lillie-Rose,31
1102,Lulu,31
1102,Malaya,31
1102,Marni,31
1102,Monica,31
1102,Opal,31
1102,Pandora,31
1102,Rida,31
1102,Simona,31
1102,Tiaraoluwa,31
1102,Zaina,31
1128,Aima,30
1128,Alena,30
1128,Alexandria,30
1128,Aleyna,30
1128,Althea,30
1128,Amaira,30
1128,Anastazja,30
1128,Avni,30
1128,Azaria,30
1128,Azariah,30
1128,Caroline,30
1128,Dora,30
1128,Elinor,30
1128,Elsie-May,30
1128,Hadley,30
1128,Iylah,30
1128,Izzy,30
1128,Kali,30
1128,Luana,30
1128,Maha,30
1128,Mannat,30
1128,Michalina,30
1128,Niyah,30
1128,Novah,30
1128,Odette,30
1128,Olympia,30
1128,Rayne,30
1128,Ruhi,30
1128,Simran,30
1128,Suri,30
1128,Zaya,30
1128,Ziva,30
1128,Zunairah,30
1161,Aairah,29
1161,Adela,29
1161,Anwen,29
1161,Ava-Mai,29
1161,Ayanna,29
1161,Bonnie-Mae,29
1161,Cassia,29
1161,Charley,29
1161,Danielle,29
1161,Eiliyah,29
1161,Gracie-May,29
1161,Irene,29
1161,Ivy-May,29
1161,Kallie,29
1161,Kiki,29
1161,Laurie,29
1161,Madelyn,29
1161,Mariana,29
1161,Marlee,29
1161,Matylda,29
1161,Mehar,29
1161,Mila-Rose,29
1161,Myla-Mae,29
1161,Naira,29
1161,Nelle,29
1161,Nyla-Rose,29
1161,Rumaisa,29
1161,Saira,29
1161,Sakina,29
1161,Selin,29
1161,Sunny,29
1161,Tegan,29
1161,Tianna,29
1161,Vivien,29
1195,Aiman,28
1195,Aimee,28
1195,Alani,28
1195,Amaal,28
1195,Amanah,28
1195,Amayra,28
1195,Ashleigh,28
1195,Ava-May,28
1195,Avaya,28
1195,Bethan,28
1195,Bluebell,28
1195,Bonnie-Rose,28
1195,Bowie,28
1195,Catalina,28
1195,Clodagh,28
1195,Eilidh,28
1195,Ethel,28
1195,Evelin,28
1195,Ezmae,28
1195,Isobella,28
1195,Nevaeh-Rose,28
1195,Petra,28
1195,Precious,28
1195,Raiya,28
1195,Safiyya,28
1195,Scarlett-Rose,28
1195,Skylar-Rose,28
1195,Winter-Rose,28
1195,Zora,28
1224,Aanya,27
1224,Aishah,27
1224,Amelia-Grace,27
1224,Aniya,27
1224,Aubrie,27
1224,Bonnie-Rae,27
1224,Delphine,27
1224,Elaia,27
1224,Elsi,27
1224,Esmerelda,27
1224,Evelynn,27
1224,Gracie-Mai,27
1224,Ira,27
1224,Janelle,27
1224,Jaya,27
1224,Judy,27
1224,Kora,27
1224,Lillia,27
1224,Lyla-Mae,27
1224,Marianne,27
1224,Maya-Rose,27
1224,Meera,27
1224,Mehreen,27
1224,Mikaela,27
1224,Milla,27
1224,Nefeli,27
1224,Oakleigh,27
1224,Priscilla,27
1224,Roberta,27
1224,Rosie-Mae,27
1224,Safia,27
1224,Sianna,27
1224,Sidney,27
1224,Skyla-Rose,27
1224,Viola,27
1259,Aine,26
1259,Alissia,26
1259,Alivia,26
1259,Arissa,26
1259,Asha,26
1259,Asya,26
1259,Calliope,26
1259,Elayna,26
1259,Emily-Rose,26
1259,Esmai,26
1259,Gracie-Leigh,26
1259,Hallie-Mae,26
1259,Honor,26
1259,Layla-Mae,26
1259,Marcella,26
1259,Mathilda,26
1259,Melek,26
1259,Milani,26
1259,Muntaha,26
1259,Nicola,26
1259,Nimrat,26
1259,Oriana,26
1259,Reenie,26
1259,Rivka,26
1259,Samaira,26
1259,Shreya,26
1259,Tiara,26
1286,Aira,25
1286,Airah,25
1286,Alea,25
1286,Ava-Rae,25
1286,Avaani,25
1286,Ayrah,25
1286,Caitlyn,25
1286,Cherry,25
1286,Daya,25
1286,Eleonora,25
1286,Emi,25
1286,Isabela,25
1286,Kaliyah,25
1286,Luciana,25
1286,Mackenzie,25
1286,Maisey,25
1286,Mariya,25
1286,Meabh,25
1286,Meghan,25
